M003,M002,M007,M004,M005,M018,M019,M015,M016,M020,M017,M009,M013,M031,M021,M012,M014,M008,M006,M010,M026,M027,M028,M022,M029,M030,M023,M025,M001,M024,M011,Activity_label2
0,0,0,0,0,0.166666667,0.333333333,0.25,0.083333333,0,0.083333333,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.157894737,0.157894737,0,0.105263158,0,0.052631579,0,0,0,0.052631579,0,0.105263158,0,0,0,0,0,0,0.105263158,0,0,0.105263158,0,0,0.157894737,0,0
0,0,0,0,0,0.176470588,0.176470588,0,0.176470588,0,0.117647059,0,0,0,0.176470588,0,0.058823529,0,0,0,0,0,0,0.058823529,0,0,0.058823529,0,0,0,0,0
0,0,0,0,0,0,0.125,0,0.375,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.1,0.1,0,0.1,0,0.2,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0
0,0,0,0,0,0.181818182,0.090909091,0,0.090909091,0,0,0,0,0,0.090909091,0,0.181818182,0,0,0,0,0,0,0.090909091,0,0,0.090909091,0,0,0.181818182,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,0.166666667,0,1
0,0,0,0,0,0.105263158,0.157894737,0.052631579,0.052631579,0.105263158,0.157894737,0,0,0,0.105263158,0,0.105263158,0,0,0,0,0,0,0.105263158,0,0,0.052631579,0,0,0,0,0
0,0,0,0,0,0.076923077,0.269230769,0.192307692,0.115384615,0,0.076923077,0,0,0,0.038461538,0,0.153846154,0,0,0,0,0,0,0.038461538,0,0,0.038461538,0,0,0,0,0
0,0,0,0,0,0.166666667,0.333333333,0.166666667,0.111111111,0,0.055555556,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0.055555556,0,0,0.055555556,0,0,0,0,0
0,0,0,0,0,0.173913043,0.173913043,0.173913043,0.217391304,0,0,0,0,0,0.086956522,0,0.043478261,0,0,0,0,0,0,0.043478261,0,0,0.043478261,0,0,0.043478261,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,1
